"icd9","condition_code","condition"
"4954","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4955","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4956","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4957","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4958","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4959","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"500","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"501","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"502","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"503","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"504","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"505","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5060","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5061","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5062","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5063","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5064","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5069","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5080","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5081","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5082","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5088","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5089","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"515","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5160","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5161","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5162","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51630","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51631","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51632","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51633","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51634","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51635","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51636","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51637","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5164","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5165","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51661","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51662","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51663","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51664","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"51669","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5168","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5169","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5171","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5172","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5178","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5183","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"5186","112","Fibrosis of Lung and Other Chronic Lung Disorders"
"4820","114","Aspiration and Specified Bacterial Pneumonias"
"4821","114","Aspiration and Specified Bacterial Pneumonias"
"48240","114","Aspiration and Specified Bacterial Pneumonias"
"48241","114","Aspiration and Specified Bacterial Pneumonias"
"48242","114","Aspiration and Specified Bacterial Pneumonias"
"48249","114","Aspiration and Specified Bacterial Pneumonias"
"48281","114","Aspiration and Specified Bacterial Pneumonias"
"48282","114","Aspiration and Specified Bacterial Pneumonias"
"48283","114","Aspiration and Specified Bacterial Pneumonias"
"48284","114","Aspiration and Specified Bacterial Pneumonias"
"48289","114","Aspiration and Specified Bacterial Pneumonias"
"5070","114","Aspiration and Specified Bacterial Pneumonias"
"5071","114","Aspiration and Specified Bacterial Pneumonias"
"5078","114","Aspiration and Specified Bacterial Pneumonias"
"99731","114","Aspiration and Specified Bacterial Pneumonias"
"00322","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0064","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0203","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0204","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0205","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0212","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0221","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"0391","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1140","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1144","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1145","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"11505","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"11515","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"11595","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1212","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1221","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"481","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"4822","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"48230","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"48231","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"48232","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"48239","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"4847","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"5100","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"5109","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"5130","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"5131","115","Pneumococcal Pneumonia, Empyema, Lung Abscess"
"1720","12","Breast, Prostate, and Other Cancers and Tumors"
"1721","12","Breast, Prostate, and Other Cancers and Tumors"
"1722","12","Breast, Prostate, and Other Cancers and Tumors"
"1723","12","Breast, Prostate, and Other Cancers and Tumors"
"1724","12","Breast, Prostate, and Other Cancers and Tumors"
"1725","12","Breast, Prostate, and Other Cancers and Tumors"
"1726","12","Breast, Prostate, and Other Cancers and Tumors"
"1727","12","Breast, Prostate, and Other Cancers and Tumors"
"1728","12","Breast, Prostate, and Other Cancers and Tumors"
"1729","12","Breast, Prostate, and Other Cancers and Tumors"
"1740","12","Breast, Prostate, and Other Cancers and Tumors"
"1741","12","Breast, Prostate, and Other Cancers and Tumors"
"1742","12","Breast, Prostate, and Other Cancers and Tumors"
"1743","12","Breast, Prostate, and Other Cancers and Tumors"
"1744","12","Breast, Prostate, and Other Cancers and Tumors"
"1745","12","Breast, Prostate, and Other Cancers and Tumors"
"1746","12","Breast, Prostate, and Other Cancers and Tumors"
"1748","12","Breast, Prostate, and Other Cancers and Tumors"
"1749","12","Breast, Prostate, and Other Cancers and Tumors"
"1750","12","Breast, Prostate, and Other Cancers and Tumors"
"1759","12","Breast, Prostate, and Other Cancers and Tumors"
"179","12","Breast, Prostate, and Other Cancers and Tumors"
"1820","12","Breast, Prostate, and Other Cancers and Tumors"
"1821","12","Breast, Prostate, and Other Cancers and Tumors"
"1828","12","Breast, Prostate, and Other Cancers and Tumors"
"185","12","Breast, Prostate, and Other Cancers and Tumors"
"1860","12","Breast, Prostate, and Other Cancers and Tumors"
"1869","12","Breast, Prostate, and Other Cancers and Tumors"
"1871","12","Breast, Prostate, and Other Cancers and Tumors"
"1872","12","Breast, Prostate, and Other Cancers and Tumors"
"1873","12","Breast, Prostate, and Other Cancers and Tumors"
"1874","12","Breast, Prostate, and Other Cancers and Tumors"
"1875","12","Breast, Prostate, and Other Cancers and Tumors"
"1876","12","Breast, Prostate, and Other Cancers and Tumors"
"1877","12","Breast, Prostate, and Other Cancers and Tumors"
"1878","12","Breast, Prostate, and Other Cancers and Tumors"
"1879","12","Breast, Prostate, and Other Cancers and Tumors"
"1900","12","Breast, Prostate, and Other Cancers and Tumors"
"1901","12","Breast, Prostate, and Other Cancers and Tumors"
"1902","12","Breast, Prostate, and Other Cancers and Tumors"
"1903","12","Breast, Prostate, and Other Cancers and Tumors"
"1904","12","Breast, Prostate, and Other Cancers and Tumors"
"1905","12","Breast, Prostate, and Other Cancers and Tumors"
"1906","12","Breast, Prostate, and Other Cancers and Tumors"
"1907","12","Breast, Prostate, and Other Cancers and Tumors"
"1908","12","Breast, Prostate, and Other Cancers and Tumors"
"1909","12","Breast, Prostate, and Other Cancers and Tumors"
"193","12","Breast, Prostate, and Other Cancers and Tumors"
"1941","12","Breast, Prostate, and Other Cancers and Tumors"
"1945","12","Breast, Prostate, and Other Cancers and Tumors"
"1946","12","Breast, Prostate, and Other Cancers and Tumors"
"1948","12","Breast, Prostate, and Other Cancers and Tumors"
"1949","12","Breast, Prostate, and Other Cancers and Tumors"
"1950","12","Breast, Prostate, and Other Cancers and Tumors"
"1951","12","Breast, Prostate, and Other Cancers and Tumors"
"1952","12","Breast, Prostate, and Other Cancers and Tumors"
"1953","12","Breast, Prostate, and Other Cancers and Tumors"
"1954","12","Breast, Prostate, and Other Cancers and Tumors"
"1955","12","Breast, Prostate, and Other Cancers and Tumors"
"1958","12","Breast, Prostate, and Other Cancers and Tumors"
"1991","12","Breast, Prostate, and Other Cancers and Tumors"
"1992","12","Breast, Prostate, and Other Cancers and Tumors"
"20900","12","Breast, Prostate, and Other Cancers and Tumors"
"20901","12","Breast, Prostate, and Other Cancers and Tumors"
"20902","12","Breast, Prostate, and Other Cancers and Tumors"
"20903","12","Breast, Prostate, and Other Cancers and Tumors"
"20910","12","Breast, Prostate, and Other Cancers and Tumors"
"20911","12","Breast, Prostate, and Other Cancers and Tumors"
"20912","12","Breast, Prostate, and Other Cancers and Tumors"
"20913","12","Breast, Prostate, and Other Cancers and Tumors"
"20914","12","Breast, Prostate, and Other Cancers and Tumors"
"20915","12","Breast, Prostate, and Other Cancers and Tumors"
"20916","12","Breast, Prostate, and Other Cancers and Tumors"
"20917","12","Breast, Prostate, and Other Cancers and Tumors"
"20920","12","Breast, Prostate, and Other Cancers and Tumors"
"20921","12","Breast, Prostate, and Other Cancers and Tumors"
"20922","12","Breast, Prostate, and Other Cancers and Tumors"
"20923","12","Breast, Prostate, and Other Cancers and Tumors"
"20924","12","Breast, Prostate, and Other Cancers and Tumors"
"20925","12","Breast, Prostate, and Other Cancers and Tumors"
"20926","12","Breast, Prostate, and Other Cancers and Tumors"
"20927","12","Breast, Prostate, and Other Cancers and Tumors"
"20929","12","Breast, Prostate, and Other Cancers and Tumors"
"20930","12","Breast, Prostate, and Other Cancers and Tumors"
"20931","12","Breast, Prostate, and Other Cancers and Tumors"
"20932","12","Breast, Prostate, and Other Cancers and Tumors"
"20933","12","Breast, Prostate, and Other Cancers and Tumors"
"20934","12","Breast, Prostate, and Other Cancers and Tumors"
"20935","12","Breast, Prostate, and Other Cancers and Tumors"
"20936","12","Breast, Prostate, and Other Cancers and Tumors"
"2250","12","Breast, Prostate, and Other Cancers and Tumors"
"2251","12","Breast, Prostate, and Other Cancers and Tumors"
"2252","12","Breast, Prostate, and Other Cancers and Tumors"
"2253","12","Breast, Prostate, and Other Cancers and Tumors"
"2254","12","Breast, Prostate, and Other Cancers and Tumors"
"2258","12","Breast, Prostate, and Other Cancers and Tumors"
"2259","12","Breast, Prostate, and Other Cancers and Tumors"
"2273","12","Breast, Prostate, and Other Cancers and Tumors"
"2274","12","Breast, Prostate, and Other Cancers and Tumors"
"22802","12","Breast, Prostate, and Other Cancers and Tumors"
"2370","12","Breast, Prostate, and Other Cancers and Tumors"
"2371","12","Breast, Prostate, and Other Cancers and Tumors"
"2373","12","Breast, Prostate, and Other Cancers and Tumors"
"2375","12","Breast, Prostate, and Other Cancers and Tumors"
"2376","12","Breast, Prostate, and Other Cancers and Tumors"
"23770","12","Breast, Prostate, and Other Cancers and Tumors"
"23771","12","Breast, Prostate, and Other Cancers and Tumors"
"23772","12","Breast, Prostate, and Other Cancers and Tumors"
"23773","12","Breast, Prostate, and Other Cancers and Tumors"
"23779","12","Breast, Prostate, and Other Cancers and Tumors"
"2379","12","Breast, Prostate, and Other Cancers and Tumors"
"2396","12","Breast, Prostate, and Other Cancers and Tumors"
"2592","12","Breast, Prostate, and Other Cancers and Tumors"
"7595","12","Breast, Prostate, and Other Cancers and Tumors"
"7596","12","Breast, Prostate, and Other Cancers and Tumors"
"36202","122","Proliferative Diabetic Retinopathy and Vitreous Hemorrhage"
"37923","122","Proliferative Diabetic Retinopathy and Vitreous Hemorrhage"
"36252","124","Exudative Macular Degeneration"
"99656","134","Dialysis Status"
"99668","134","Dialysis Status"
"99673","134","Dialysis Status"
"V4511","134","Dialysis Status"
"V4512","134","Dialysis Status"
"V560","134","Dialysis Status"
"V561","134","Dialysis Status"
"V562","134","Dialysis Status"
"V5631","134","Dialysis Status"
"V5632","134","Dialysis Status"
"V568","134","Dialysis Status"
"5845","135","Acute Renal Failure"
"5846","135","Acute Renal Failure"
"5847","135","Acute Renal Failure"
"5848","135","Acute Renal Failure"
"5849","135","Acute Renal Failure"
"40301","136","Chronic Kidney Disease, Stage 5"
"40311","136","Chronic Kidney Disease, Stage 5"
"40391","136","Chronic Kidney Disease, Stage 5"
"40402","136","Chronic Kidney Disease, Stage 5"
"40403","136","Chronic Kidney Disease, Stage 5"
"40412","136","Chronic Kidney Disease, Stage 5"
"40413","136","Chronic Kidney Disease, Stage 5"
"40492","136","Chronic Kidney Disease, Stage 5"
"40493","136","Chronic Kidney Disease, Stage 5"
"5855","136","Chronic Kidney Disease, Stage 5"
"5856","136","Chronic Kidney Disease, Stage 5"
"5854","137","Chronic Kidney Disease, Severe (Stage 4)"
"70724","157","Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
"70723","158","Pressure Ulcer of Skin with Full Thickness Skin Loss"
"70725","158","Pressure Ulcer of Skin with Full Thickness Skin Loss"
"70710","161","Chronic Ulcer of Skin, Except Pressure"
"70711","161","Chronic Ulcer of Skin, Except Pressure"
"70712","161","Chronic Ulcer of Skin, Except Pressure"
"70713","161","Chronic Ulcer of Skin, Except Pressure"
"70714","161","Chronic Ulcer of Skin, Except Pressure"
"70715","161","Chronic Ulcer of Skin, Except Pressure"
"70719","161","Chronic Ulcer of Skin, Except Pressure"
"7078","161","Chronic Ulcer of Skin, Except Pressure"
"7079","161","Chronic Ulcer of Skin, Except Pressure"
"69513","162","Severe Skin Burn or Condition"
"69514","162","Severe Skin Burn or Condition"
"69515","162","Severe Skin Burn or Condition"
"94811","162","Severe Skin Burn or Condition"
"94821","162","Severe Skin Burn or Condition"
"94822","162","Severe Skin Burn or Condition"
"94831","162","Severe Skin Burn or Condition"
"94832","162","Severe Skin Burn or Condition"
"94833","162","Severe Skin Burn or Condition"
"94841","162","Severe Skin Burn or Condition"
"94842","162","Severe Skin Burn or Condition"
"94843","162","Severe Skin Burn or Condition"
"94844","162","Severe Skin Burn or Condition"
"94851","162","Severe Skin Burn or Condition"
"94852","162","Severe Skin Burn or Condition"
"94853","162","Severe Skin Burn or Condition"
"94854","162","Severe Skin Burn or Condition"
"94855","162","Severe Skin Burn or Condition"
"94861","162","Severe Skin Burn or Condition"
"94862","162","Severe Skin Burn or Condition"
"94863","162","Severe Skin Burn or Condition"
"94864","162","Severe Skin Burn or Condition"
"94865","162","Severe Skin Burn or Condition"
"94866","162","Severe Skin Burn or Condition"
"94871","162","Severe Skin Burn or Condition"
"94872","162","Severe Skin Burn or Condition"
"94873","162","Severe Skin Burn or Condition"
"94874","162","Severe Skin Burn or Condition"
"94875","162","Severe Skin Burn or Condition"
"94876","162","Severe Skin Burn or Condition"
"94877","162","Severe Skin Burn or Condition"
"94881","162","Severe Skin Burn or Condition"
"94882","162","Severe Skin Burn or Condition"
"94883","162","Severe Skin Burn or Condition"
"94884","162","Severe Skin Burn or Condition"
"94885","162","Severe Skin Burn or Condition"
"94886","162","Severe Skin Burn or Condition"
"94887","162","Severe Skin Burn or Condition"
"94888","162","Severe Skin Burn or Condition"
"94891","162","Severe Skin Burn or Condition"
"94892","162","Severe Skin Burn or Condition"
"94893","162","Severe Skin Burn or Condition"
"94894","162","Severe Skin Burn or Condition"
"94895","162","Severe Skin Burn or Condition"
"94896","162","Severe Skin Burn or Condition"
"94897","162","Severe Skin Burn or Condition"
"94898","162","Severe Skin Burn or Condition"
"94899","162","Severe Skin Burn or Condition"
"80003","166","Severe Head Injury"
"80004","166","Severe Head Injury"
"80005","166","Severe Head Injury"
"80013","166","Severe Head Injury"
"80014","166","Severe Head Injury"
"80015","166","Severe Head Injury"
"80023","166","Severe Head Injury"
"80024","166","Severe Head Injury"
"80025","166","Severe Head Injury"
"80033","166","Severe Head Injury"
"80034","166","Severe Head Injury"
"80035","166","Severe Head Injury"
"80043","166","Severe Head Injury"
"80044","166","Severe Head Injury"
"80045","166","Severe Head Injury"
"80053","166","Severe Head Injury"
"80054","166","Severe Head Injury"
"80055","166","Severe Head Injury"
"80063","166","Severe Head Injury"
"80064","166","Severe Head Injury"
"80065","166","Severe Head Injury"
"80073","166","Severe Head Injury"
"80074","166","Severe Head Injury"
"80075","166","Severe Head Injury"
"80083","166","Severe Head Injury"
"80084","166","Severe Head Injury"
"80085","166","Severe Head Injury"
"80093","166","Severe Head Injury"
"80094","166","Severe Head Injury"
"80095","166","Severe Head Injury"
"80103","166","Severe Head Injury"
"80104","166","Severe Head Injury"
"80105","166","Severe Head Injury"
"80113","166","Severe Head Injury"
"80114","166","Severe Head Injury"
"80115","166","Severe Head Injury"
"80123","166","Severe Head Injury"
"80124","166","Severe Head Injury"
"80125","166","Severe Head Injury"
"80133","166","Severe Head Injury"
"80134","166","Severe Head Injury"
"80135","166","Severe Head Injury"
"80143","166","Severe Head Injury"
"80144","166","Severe Head Injury"
"80145","166","Severe Head Injury"
"80153","166","Severe Head Injury"
"80154","166","Severe Head Injury"
"80155","166","Severe Head Injury"
"80163","166","Severe Head Injury"
"80164","166","Severe Head Injury"
"80165","166","Severe Head Injury"
"80173","166","Severe Head Injury"
"80174","166","Severe Head Injury"
"80175","166","Severe Head Injury"
"80183","166","Severe Head Injury"
"80184","166","Severe Head Injury"
"80185","166","Severe Head Injury"
"80193","166","Severe Head Injury"
"80194","166","Severe Head Injury"
"80195","166","Severe Head Injury"
"80303","166","Severe Head Injury"
"80304","166","Severe Head Injury"
"80305","166","Severe Head Injury"
"80313","166","Severe Head Injury"
"80314","166","Severe Head Injury"
"80315","166","Severe Head Injury"
"80323","166","Severe Head Injury"
"80324","166","Severe Head Injury"
"80325","166","Severe Head Injury"
"80333","166","Severe Head Injury"
"80334","166","Severe Head Injury"
"80335","166","Severe Head Injury"
"80343","166","Severe Head Injury"
"80344","166","Severe Head Injury"
"80345","166","Severe Head Injury"
"80353","166","Severe Head Injury"
"80354","166","Severe Head Injury"
"80355","166","Severe Head Injury"
"80363","166","Severe Head Injury"
"80364","166","Severe Head Injury"
"80365","166","Severe Head Injury"
"80373","166","Severe Head Injury"
"80374","166","Severe Head Injury"
"80375","166","Severe Head Injury"
"80383","166","Severe Head Injury"
"80384","166","Severe Head Injury"
"80385","166","Severe Head Injury"
"80393","166","Severe Head Injury"
"80394","166","Severe Head Injury"
"80395","166","Severe Head Injury"
"80403","166","Severe Head Injury"
"80404","166","Severe Head Injury"
"80405","166","Severe Head Injury"
"80413","166","Severe Head Injury"
"80414","166","Severe Head Injury"
"80415","166","Severe Head Injury"
"80423","166","Severe Head Injury"
"80424","166","Severe Head Injury"
"80425","166","Severe Head Injury"
"80433","166","Severe Head Injury"
"80434","166","Severe Head Injury"
"80435","166","Severe Head Injury"
"80443","166","Severe Head Injury"
"80444","166","Severe Head Injury"
"80445","166","Severe Head Injury"
"80453","166","Severe Head Injury"
"80454","166","Severe Head Injury"
"80455","166","Severe Head Injury"
"80463","166","Severe Head Injury"
"80464","166","Severe Head Injury"
"80465","166","Severe Head Injury"
"80473","166","Severe Head Injury"
"80474","166","Severe Head Injury"
"80475","166","Severe Head Injury"
"80483","166","Severe Head Injury"
"80484","166","Severe Head Injury"
"80485","166","Severe Head Injury"
"80493","166","Severe Head Injury"
"80494","166","Severe Head Injury"
"80495","166","Severe Head Injury"
"85103","166","Severe Head Injury"
"85104","166","Severe Head Injury"
"85105","166","Severe Head Injury"
"85113","166","Severe Head Injury"
"85114","166","Severe Head Injury"
"85115","166","Severe Head Injury"
"85123","166","Severe Head Injury"
"85124","166","Severe Head Injury"
"85125","166","Severe Head Injury"
"85133","166","Severe Head Injury"
"85134","166","Severe Head Injury"
"85135","166","Severe Head Injury"
"85143","166","Severe Head Injury"
"85144","166","Severe Head Injury"
"85145","166","Severe Head Injury"
"85153","166","Severe Head Injury"
"85154","166","Severe Head Injury"
"85155","166","Severe Head Injury"
"85163","166","Severe Head Injury"
"85164","166","Severe Head Injury"
"85165","166","Severe Head Injury"
"85173","166","Severe Head Injury"
"85174","166","Severe Head Injury"
"85175","166","Severe Head Injury"
"85183","166","Severe Head Injury"
"85184","166","Severe Head Injury"
"85185","166","Severe Head Injury"
"85193","166","Severe Head Injury"
"85194","166","Severe Head Injury"
"85195","166","Severe Head Injury"
"85203","166","Severe Head Injury"
"85204","166","Severe Head Injury"
"85205","166","Severe Head Injury"
"85213","166","Severe Head Injury"
"85214","166","Severe Head Injury"
"85215","166","Severe Head Injury"
"85223","166","Severe Head Injury"
"85224","166","Severe Head Injury"
"85225","166","Severe Head Injury"
"85233","166","Severe Head Injury"
"85234","166","Severe Head Injury"
"85235","166","Severe Head Injury"
"85243","166","Severe Head Injury"
"85244","166","Severe Head Injury"
"85245","166","Severe Head Injury"
"85253","166","Severe Head Injury"
"85254","166","Severe Head Injury"
"85255","166","Severe Head Injury"
"85303","166","Severe Head Injury"
"85304","166","Severe Head Injury"
"85305","166","Severe Head Injury"
"85313","166","Severe Head Injury"
"85314","166","Severe Head Injury"
"85315","166","Severe Head Injury"
"85403","166","Severe Head Injury"
"85404","166","Severe Head Injury"
"85405","166","Severe Head Injury"
"85413","166","Severe Head Injury"
"85414","166","Severe Head Injury"
"85415","166","Severe Head Injury"
"80000","167","Major Head Injury"
"80001","167","Major Head Injury"
"80002","167","Major Head Injury"
"80006","167","Major Head Injury"
"80009","167","Major Head Injury"
"80010","167","Major Head Injury"
"80011","167","Major Head Injury"
"80012","167","Major Head Injury"
"80016","167","Major Head Injury"
"80019","167","Major Head Injury"
"80020","167","Major Head Injury"
"80021","167","Major Head Injury"
"80022","167","Major Head Injury"
"80026","167","Major Head Injury"
"80029","167","Major Head Injury"
"80030","167","Major Head Injury"
"80031","167","Major Head Injury"
"80032","167","Major Head Injury"
"80036","167","Major Head Injury"
"80039","167","Major Head Injury"
"80040","167","Major Head Injury"
"80041","167","Major Head Injury"
"80042","167","Major Head Injury"
"80046","167","Major Head Injury"
"80049","167","Major Head Injury"
"80050","167","Major Head Injury"
"80051","167","Major Head Injury"
"80052","167","Major Head Injury"
"80056","167","Major Head Injury"
"80059","167","Major Head Injury"
"80060","167","Major Head Injury"
"80061","167","Major Head Injury"
"80062","167","Major Head Injury"
"80066","167","Major Head Injury"
"80069","167","Major Head Injury"
"80070","167","Major Head Injury"
"80071","167","Major Head Injury"
"80072","167","Major Head Injury"
"80076","167","Major Head Injury"
"80079","167","Major Head Injury"
"80080","167","Major Head Injury"
"80081","167","Major Head Injury"
"80082","167","Major Head Injury"
"80086","167","Major Head Injury"
"80089","167","Major Head Injury"
"80090","167","Major Head Injury"
"80091","167","Major Head Injury"
"80092","167","Major Head Injury"
"80096","167","Major Head Injury"
"80099","167","Major Head Injury"
"80100","167","Major Head Injury"
"80101","167","Major Head Injury"
"80102","167","Major Head Injury"
"80106","167","Major Head Injury"
"80109","167","Major Head Injury"
"80110","167","Major Head Injury"
"80111","167","Major Head Injury"
"80112","167","Major Head Injury"
"80116","167","Major Head Injury"
"80119","167","Major Head Injury"
"80120","167","Major Head Injury"
"80121","167","Major Head Injury"
"80122","167","Major Head Injury"
"80126","167","Major Head Injury"
"80129","167","Major Head Injury"
"80130","167","Major Head Injury"
"80131","167","Major Head Injury"
"80132","167","Major Head Injury"
"80136","167","Major Head Injury"
"80139","167","Major Head Injury"
"80140","167","Major Head Injury"
"80141","167","Major Head Injury"
"80142","167","Major Head Injury"
"80146","167","Major Head Injury"
"80149","167","Major Head Injury"
"80150","167","Major Head Injury"
"80151","167","Major Head Injury"
"80152","167","Major Head Injury"
"80156","167","Major Head Injury"
"80159","167","Major Head Injury"
"80160","167","Major Head Injury"
"80161","167","Major Head Injury"
"80162","167","Major Head Injury"
"80166","167","Major Head Injury"
"80169","167","Major Head Injury"
"80170","167","Major Head Injury"
"80171","167","Major Head Injury"
"80172","167","Major Head Injury"
"80176","167","Major Head Injury"
"80179","167","Major Head Injury"
"80180","167","Major Head Injury"
"80181","167","Major Head Injury"
"80182","167","Major Head Injury"
"80186","167","Major Head Injury"
"80189","167","Major Head Injury"
"80190","167","Major Head Injury"
"80191","167","Major Head Injury"
"80192","167","Major Head Injury"
"80196","167","Major Head Injury"
"80199","167","Major Head Injury"
"80220","167","Major Head Injury"
"80221","167","Major Head Injury"
"80222","167","Major Head Injury"
"80223","167","Major Head Injury"
"80224","167","Major Head Injury"
"80225","167","Major Head Injury"
"80226","167","Major Head Injury"
"80227","167","Major Head Injury"
"80228","167","Major Head Injury"
"80229","167","Major Head Injury"
"80230","167","Major Head Injury"
"80231","167","Major Head Injury"
"80232","167","Major Head Injury"
"80233","167","Major Head Injury"
"80234","167","Major Head Injury"
"80235","167","Major Head Injury"
"80236","167","Major Head Injury"
"80237","167","Major Head Injury"
"80238","167","Major Head Injury"
"80239","167","Major Head Injury"
"8024","167","Major Head Injury"
"8025","167","Major Head Injury"
"8026","167","Major Head Injury"
"8027","167","Major Head Injury"
"8028","167","Major Head Injury"
"8029","167","Major Head Injury"
"80300","167","Major Head Injury"
"80301","167","Major Head Injury"
"80302","167","Major Head Injury"
"80306","167","Major Head Injury"
"80309","167","Major Head Injury"
"80310","167","Major Head Injury"
"80311","167","Major Head Injury"
"80312","167","Major Head Injury"
"80316","167","Major Head Injury"
"80319","167","Major Head Injury"
"80320","167","Major Head Injury"
"80321","167","Major Head Injury"
"80322","167","Major Head Injury"
"80326","167","Major Head Injury"
"80329","167","Major Head Injury"
"80330","167","Major Head Injury"
"80331","167","Major Head Injury"
"80332","167","Major Head Injury"
"80336","167","Major Head Injury"
"80339","167","Major Head Injury"
"80340","167","Major Head Injury"
"80341","167","Major Head Injury"
"80342","167","Major Head Injury"
"80346","167","Major Head Injury"
"80349","167","Major Head Injury"
"80350","167","Major Head Injury"
"80351","167","Major Head Injury"
"80352","167","Major Head Injury"
"80356","167","Major Head Injury"
"80359","167","Major Head Injury"
"80360","167","Major Head Injury"
"80361","167","Major Head Injury"
"80362","167","Major Head Injury"
"80366","167","Major Head Injury"
"80369","167","Major Head Injury"
"80370","167","Major Head Injury"
"80371","167","Major Head Injury"
"80372","167","Major Head Injury"
"80376","167","Major Head Injury"
"80379","167","Major Head Injury"
"80380","167","Major Head Injury"
"80381","167","Major Head Injury"
"80382","167","Major Head Injury"
"80386","167","Major Head Injury"
"80389","167","Major Head Injury"
"80390","167","Major Head Injury"
"80391","167","Major Head Injury"
"80392","167","Major Head Injury"
"80396","167","Major Head Injury"
"80399","167","Major Head Injury"
"80400","167","Major Head Injury"
"80401","167","Major Head Injury"
"80402","167","Major Head Injury"
"80406","167","Major Head Injury"
"80409","167","Major Head Injury"
"80410","167","Major Head Injury"
"80411","167","Major Head Injury"
"80412","167","Major Head Injury"
"80416","167","Major Head Injury"
"80419","167","Major Head Injury"
"80420","167","Major Head Injury"
"80421","167","Major Head Injury"
"80422","167","Major Head Injury"
"80426","167","Major Head Injury"
